
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server
  2026-04-18 09:09:40 /_debugbar/open .................................................................... ~ 516.99ms
  2026-04-18 09:09:40 /hrm/employees ........................................................................... ~ 1s
  2026-04-18 09:09:39 /favicon.ico ............................................................................. ~ 2s
  2026-04-18 09:09:40 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:40 /sw.js ................................................................................... ~ 2s
  2026-04-18 09:09:41 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:42 /hrm ..................................................................................... ~ 1s
  2026-04-18 09:09:43 /_debugbar/open .......................................................................... ~ 1s
  2026-04-18 09:09:42 /favicon.ico ............................................................................. ~ 2s
  2026-04-18 09:09:43 /manifest.json ........................................................................... ~ 1s
  2026-04-18 09:09:43 /storage/media/favicon.png ............................................................... ~ 1s
  2026-04-18 09:09:44 /storage/media/favicon.png ........................................................... ~ 0.31ms
  2026-04-18 09:09:44 /storage/media/favicon.png ........................................................... ~ 0.27ms
  2026-04-18 09:09:48 /dashboard ............................................................................... ~ 2s
  2026-04-18 09:09:50 /login ................................................................................... ~ 1s
  2026-04-18 09:09:50 /login ................................................................................... ~ 2s
  2026-04-18 09:09:51 .......................................................................................... ~ 1s
  2026-04-18 09:09:52 /_debugbar/open .................................................................... ~ 505.29ms
  2026-04-18 09:09:52 /_debugbar/assets/stylesheets ............................................................ ~ 1s
  2026-04-18 09:09:53 /_debugbar/assets/javascript ....................................................... ~ 504.71ms
  2026-04-18 09:09:52 /js/jquery.min.js ........................................................................ ~ 1s
  2026-04-18 09:09:53 /manifest.json ..................................................................... ~ 507.34ms
  2026-04-18 09:09:54 /translations/ar ......................................................................... ~ 1s
  2026-04-18 09:09:54 /translations/en ......................................................................... ~ 2s
  2026-04-18 09:09:56 /_debugbar/open .................................................................... ~ 512.52ms
  2026-04-18 09:09:56 /_debugbar/open .................................................................... ~ 513.50ms
  2026-04-18 09:09:55 /favicon.ico ............................................................................. ~ 1s
  2026-04-18 09:09:56 /sw.js ............................................................................. ~ 516.05ms
  2026-04-18 09:09:57 /favicon.ico ....................................................................... ~ 508.80ms
  2026-04-18 09:09:57 /manifest.json ..................................................................... ~ 510.32ms
  2026-04-18 09:09:57 /storage/media/favicon.png ........................................................... ~ 0.16ms
  2026-04-18 09:09:59 /reports ........................................................................... ~ 517.04ms
  2026-04-18 09:10:00 /_debugbar/open .................................................................... ~ 508.68ms
  2026-04-18 09:10:02 /reports/profit_loss ............................................................... ~ 503.09ms
  2026-04-18 09:10:03 /_debugbar/open .................................................................... ~ 500.08ms
  2026-04-18 09:10:09 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:10:10 /_debugbar/open .................................................................... ~ 511.18ms
  2026-04-18 09:10:36 /login ................................................................................... ~ 1s
  2026-04-18 09:10:36 /build/assets/vendor-CE21K4bl.css ........................................................ ~ 1s
  2026-04-18 09:10:37 /build/assets/app-DVCVV6rs.css ....................................................... ~ 1.26ms
  2026-04-18 09:10:37 /build/assets/app-DQFL_JNS.js ........................................................ ~ 2.37ms
  2026-04-18 09:10:37 /js/jquery.min.js .................................................................... ~ 2.25ms
  2026-04-18 09:10:37 /build/assets/vendor-B2N1yrhw.js ..................................................... ~ 4.15ms
  2026-04-18 09:10:38 /build/assets/login-D2DZqf20.js ...................................................... ~ 2.72ms
  2026-04-18 09:10:38 /build/assets/auth-layout-Dt0gFZsY.js ................................................ ~ 4.55ms
  2026-04-18 09:10:38 /build/assets/theme-toggle-UMiT1RfB.js ............................................... ~ 5.49ms
  2026-04-18 09:10:38 /build/assets/select-5FO5gnQ_.js ..................................................... ~ 7.17ms
  2026-04-18 09:10:38 /build/assets/input-dNnCrxE7.js ...................................................... ~ 9.48ms
  2026-04-18 09:10:38 /build/assets/utils-Dhmp34-_.js ...................................................... ~ 7.14ms
  2026-04-18 09:10:38 /build/assets/language-CfLNMu0g.js ................................................... ~ 0.26ms
  2026-04-18 09:10:38 /build/assets/button-DVnLbe8S.js ..................................................... ~ 1.38ms
  2026-04-18 09:10:38 /build/assets/use-favicon-BxMdRRbq.js ................................................ ~ 0.30ms
  2026-04-18 09:10:38 /build/assets/helpers-CP1MBKeR.js .................................................... ~ 1.25ms
  2026-04-18 09:10:38 /build/assets/cookie-consent-D-JxpRxh.js ............................................. ~ 2.29ms
  2026-04-18 09:10:38 /build/assets/switch-R1L2E0qN.js ..................................................... ~ 1.92ms
